name,id
abseil-cpp,115295
acl,706
acme-tiny,374805
acpica,374772
age,374773
alsa-lib,374774
ansible,389704
ansible-core,165410
anubis,374775
apr,374776
apr-util,374777
argon2,374778
argp-standalone,21336
arti,374779
aspell,2808
attr,1095
autoconf,79
autoconf-archive,142
automake,103
aws-cli,374780
bash,63
bash-completion,374781
bc,83
bdftopcf,15054
binutils,131
bison,88
boost,135
brotli,2264
buf,389703
buildkit,374782
busybox,230
bzip2,102
c-ares,5840
ca-certificates,6781
caddy,374783
canokey-qemu,374784
capnproto,374785
ccache,1574
ccid,374786
chrpath,13891
cmake,1674
composer,374599
containerd,389705
coreutils,174
cpio,2809
curl,285
cython,164
dhcpcd,11429
diffoscope,374771
diffutils,436
docbook-xml,227335
docbook-xsl,25671
docker,374787
docker-cli-buildx,374788
doctest,374616
dosfstools,455
doxygen,1686
dtc,2810
e2fsprogs,646
ed,393
edk2,374789
eif_build,374292
elfutils,374790
eudev,13466
expat,107
file,113
findutils,114
flashtools,374791
flex,165
fmt,3904
freetds,8198
fuse-overlayfs,374792
fuse3,374793
gawk,136
gc,132
gcc,304
gdb,2811
gdbm,141
gettext,138
git,92
glib,2812
glibc,5401
glslang,374794
gmp,140
go,1851
go-md2man,14461
gperf,374712
gpg,374713
grep,137
groff,1253
grpcurl,242687
grub,374714
guestctl,389719
gzip,135
hardened_malloc,389726
helm,374715
hiredis,724
hivemind,374795
hugo,2301
hunspell,374716
hwdata,374717
icepick,389697
icu,1530
inotify-tools,8864
iproute2,1392
iptables,1281
iputils,2813
ipxe,10507
isl,347
jq,2420
json-c,374718
json-glib,13144
just,389698
k9s,242947
kernel-hardening-checker,373575
keyfork,389699
kmod,2503
krb5,1749
ksops-dry-run,374706
kubeconform,374708
kubectl,389700
kustomize,374796
kustomize-sops,374710
libaio,374720
libarchive,242690
libassuan,1559
libatomic-chimera,389730
libatomic_ops,1561
libbsd,1567
libcap,1647
libcap-ng,1570
libclc,374721
libdeflate,374722
